Category: All categories

Month,Job: (Kenya)
2004-01,93
2004-02,48
2004-03,49
2004-04,48
2004-05,44
2004-06,70
2004-07,55
2004-08,44
2004-09,49
2004-10,45
2004-11,64
2004-12,49
2005-01,38
2005-02,63
2005-03,62
2005-04,44
2005-05,43
2005-06,68
2005-07,56
2005-08,57
2005-09,63
2005-10,47
2005-11,48
2005-12,65
2006-01,60
2006-02,51
2006-03,53
2006-04,48
2006-05,65
2006-06,57
2006-07,42
2006-08,57
2006-09,40
2006-10,43
2006-11,45
2006-12,36
2007-01,54
2007-02,41
2007-03,47
2007-04,54
2007-05,42
2007-06,46
2007-07,51
2007-08,51
2007-09,50
2007-10,53
2007-11,54
2007-12,38
2008-01,54
2008-02,49
2008-03,53
2008-04,64
2008-05,53
2008-06,50
2008-07,51
2008-08,49
2008-09,59
2008-10,57
2008-11,62
2008-12,64
2009-01,72
2009-02,73
2009-03,78
2009-04,68
2009-05,87
2009-06,82
2009-07,71
2009-08,94
2009-09,86
2009-10,77
2009-11,87
2009-12,88
2010-01,100
2010-02,96
2010-03,86
2010-04,91
2010-05,92
2010-06,79
2010-07,81
2010-08,75
2010-09,73
2010-10,69
2010-11,73
2010-12,54
2011-01,88
2011-02,87
2011-03,77
2011-04,72
2011-05,86
2011-06,86
2011-07,78
2011-08,72
2011-09,78
2011-10,75
2011-11,68
2011-12,59
2012-01,78
2012-02,72
2012-03,75
2012-04,65
2012-05,72
2012-06,65
2012-07,77
2012-08,62
2012-09,68
2012-10,62
2012-11,58
2012-12,50
2013-01,65
2013-02,60
2013-03,53
2013-04,57
2013-05,61
2013-06,59
2013-07,59
2013-08,54
2013-09,50
2013-10,53
2013-11,50
2013-12,37
2014-01,53
2014-02,48
2014-03,53
2014-04,50
2014-05,56
2014-06,50
2014-07,53
2014-08,49
2014-09,53
2014-10,51
2014-11,41
2014-12,41
2015-01,57
2015-02,59
2015-03,52
2015-04,47
2015-05,60
2015-06,55
2015-07,44
2015-08,42
2015-09,45
2015-10,44
2015-11,39
2015-12,36
2016-01,50
2016-02,43
2016-03,41
2016-04,36
2016-05,41
2016-06,41
2016-07,42
2016-08,39
2016-09,39
2016-10,35
2016-11,33
2016-12,33
2017-01,39
2017-02,37
2017-03,37
2017-04,37
2017-05,38
2017-06,55
2017-07,34
2017-08,29
2017-09,35
2017-10,28
2017-11,28
2017-12,24
2018-01,38
2018-02,33
2018-03,34
2018-04,31
2018-05,38
2018-06,33
2018-07,36
2018-08,33
2018-09,34
2018-10,29
2018-11,29
2018-12,25
2019-01,39
2019-02,37
2019-03,31
2019-04,28
2019-05,37
2019-06,39
2019-07,41
2019-08,34
2019-09,40
2019-10,36
2019-11,32
2019-12,28
2020-01,45
2020-02,38
2020-03,34
2020-04,29
2020-05,31
2020-06,29
2020-07,28
2020-08,28
2020-09,29
2020-10,27
2020-11,24
2020-12,26
2021-01,33
2021-02,32
2021-03,34
